Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","514","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","6","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5911","Exportations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","63","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2110","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2110","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","37.01","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","149","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","14.63","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","9.59","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","13","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","20","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5911","Exportations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","33","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","33","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","11.45","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","59","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","4.44","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","4.46","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","284","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5911","Exportations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","286","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","286","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","6.91","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","24","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","2.13","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","1.63","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1514","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","842","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","152","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5911","Exportations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","646","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1557","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5131","Traitement","2734","Viande de Volailles","2017","2017","Milliers de tonnes","103","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","-38","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1492","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","18.05","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","67","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","7.39","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","3.9","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","40","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","277","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5911","Exportations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","318","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","318","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","10.65","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","7","Angola","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","36","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","3.63","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","7","Angola","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","2.24","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","7","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5911","Exportations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","6","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5154","Autres utilisations (non alimentaire)","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5171","Alimentation pour touristes","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","5","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","57.31","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","247","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","18.75","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","18.63","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","540","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","744","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","-21","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5911","Exportations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","47","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1258","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","-1","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1259","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","38.04","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","132","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","13.62","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","8.2","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2162","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","8","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5911","Exportations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","207","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1962","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1962","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","44.66","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","192","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","14.31","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","14.64","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","11","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","35","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5911","Exportations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","45","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5123","Pertes","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","45","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","15.38","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","52","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","5.21","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","3.25","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1271","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","16","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5911","Exportations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","42","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1245","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5123","Pertes","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1245","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","10","Australie","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","50.63","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","10","Australie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","205","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","17.61","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","10","Australie","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","14.34","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","148","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","110","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","9","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5911","Exportations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","78","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","172","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5131","Traitement","2734","Viande de Volailles","2017","2017","Milliers de tonnes","11","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","160","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","18.2","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","65","Fc","Donn?e calcul?e"
